Title,Runtime,MPAA Rating,IMDb Score,Release Year
Marcel the Shell with Shoes On,90 min,PG,7.7,(2021)
Spencer,117 min,R,6.6,(2021)
Cinderella,113 min,PG,4.3,(I) (2021)
Encounter,108 min,R,5.9,(III) (2021)
The Lost Daughter,121 min,R,6.7,(2021)
The Power of the Dog,126 min,R,6.8,(2021)
Belfast,98 min,PG-13,7.3,(2021)
King Richard,144 min,PG-13,7.5,(2021)
The Electrical Life of Louis Wain,111 min,PG-13,6.8,(2021)
Cyrano,123 min,PG-13,6.4,(2021)
The Card Counter,111 min,R,6.2,(2021)
C'mon C'mon,109 min,R,7.4,(2021)
Afterlife of the Party,109 min,TV-PG,5.8,(2021)
Malignant,111 min,R,6.2,(I) (2021)
After We Fell,98 min,R,4.7,(2021)
Mortal Kombat Legends: Battle of the Realms,80 min,R,6.5,(2021)
He's All That,88 min,TV-14,4.4,(2021)
Vacation Friends,103 min,R,6.3,(2021)
Queenpins,110 min,R,6.3,(2021)
The Witcher: Nightmare of the Wolf,83 min,TV-MA,7.2,(2021)
Candyman,91 min,R,5.9,(2021)
Sweet Girl,110 min,R,5.5,(2021)
The Girl Who Got Away,116 min,TV-MA,5.3,(2021)
The Protégé,109 min,R,6.1,(2021)
Shang-Chi and the Legend of the Ten Rings,132 min,PG-13,7.4,(2021)
Don't Breathe 2,98 min,R,6.0,(2021)
Respect,145 min,PG-13,6.6,(2021)
Reminiscence,116 min,PG-13,5.9,(2021)
The Kissing Booth 3,112 min,TV-14,4.8,(2021)
Free Guy,115 min,PG-13,7.1,(2021)
PAW Patrol: The Movie,86 min,G,6.1,(2021)
Beckett,110 min,TV-MA,5.7,(2021)
Aftermath,114 min,TV-MA,5.3,(IV) (2021)
Vivo,95 min,PG,6.7,(I) (2021)
The Last Mercenary,110 min,TV-MA,5.3,(2021)
The Green Knight,130 min,R,6.6,(2021)
Resort to Love,101 min,PG,5.7,(2021)
The Suicide Squad,132 min,R,7.2,(2021)
